Time,CountryName,CountryCode,Literacy,Internetuse,SecureServers,GDPCapita
1990,South Asia (IDA & IBRD),TSA,45.42505,0,..,355.6162399
1990,Sub-Saharan Africa,SSF,52.23015,0,..,655.6677622
1990,Sub-Saharan Africa (excluding high income),SSA,52.22458,0,..,655.0360179
1990,Sub-Saharan Africa (IDA & IBRD countries),TSS,52.23015,0,..,655.6677622
1990,Upper middle income,UMC,81.5411,0,..,1252.680414
1990,World,WLD,75.44227,0.049343085,..,4275.09385
2000,Afghanistan,AFG,..,..,..,..
2000,Albania,ALB,..,0.114097347,..,1126.68334
2000,Algeria,DZA,..,0.491705679,..,1757.017797
2000,American Samoa,ASM,..,..,..,..
2000,Andorra,AND,..,10.53883561,..,21936.5301
2000,Angola,AGO,..,0.105045562,..,555.2969419
2000,Antigua and Barbuda,ATG,..,6.482225737,..,9932.029681
2000,Argentina,ARG,..,7.038683086,..,7669.273916
2000,Armenia,ARM,..,1.300470022,..,622.7427477
2000,Aruba,ABW,97.29125,15.44282295,..,20620.70063
2000,Australia,AUS,..,46.75611561,..,21669.41091
2000,Austria,AUT,..,33.73013295,..,24564.45829
2000,Azerbaijan,AZE,..,0.147757576,..,655.0974326
2000,"Bahamas, The",BHS,..,8,..,27112.2562
2000,Bahrain,BHR,..,6.153732546,..,13636.34668
2000,Bangladesh,BGD,..,0.071039423,..,405.6033071
2000,Barbados,BRB,..,3.973678355,..,11567.66612
2000,Belarus,BLR,..,1.860398126,..,1276.288034
2000,Belgium,BEL,..,29.43169169,..,23207.40591
2000,Belize,BLZ,..,5.963835303,..,3364.423711
2000,Benin,BEN,..,0.225247851,..,374.1923942
2000,Bermuda,BMU,..,42.94986002,..,56284.16865
2000,Bhutan,BTN,..,0.400944447,..,765.8632358
2000,Bolivia,BOL,..,1.442763585,..,1007.002869
2000,Bosnia and Herzegovina,BIH,96.6631,1.08296075,..,1461.75052
2000,Botswana,BWA,..,2.902666622,..,3349.068823
2000,Brazil,BRA,86.36788,2.870685159,..,3739.116139
2000,British Virgin Islands,VGB,..,..,..,..
2000,Brunei Darussalam,BRN,..,8.996284534,..,18008.44826
2000,Bulgaria,BGR,..,5.370923469,..,1609.882452
2000,Burkina Faso,BFA,..,0.077080169,..,226.4759814
2000,Burundi,BDI,59.30362,0.077248447,..,135.9984455
2000,Cabo Verde,CPV,..,1.822443852,..,1239.377855
2000,Cambodia,KHM,..,0.04702264,..,302.6489962
2000,Cameroon,CMR,68.40916,0.252120078,..,660.1926971
